"logFC","logCPM","LR","PValue","FDR"
"K07235",1.5856559201267,0.554891467442925,24.0980978402671,9.15506857046156e-07,2.21051219964796e-05
"K16329",0.198199530363578,7.78210848194919,24.0732949075331,9.27375307255018e-07,2.22991607971775e-05
"K02693",-1.52370807931345,2.90053604088277,24.0627100160753,9.32487140439211e-07,2.23084270484424e-05
"K02293",-0.858066494614531,5.30612976704886,24.0566465820662,9.35428114765415e-07,2.23084270484424e-05
"K16234",2.83003112003817,1.78963546112385,23.9831762742804,9.71811684664909e-07,2.30675507751008e-05
"K05377",-1.34095477959143,1.36445566217662,23.9764993153336,9.75187745433029e-07,2.30675507751008e-05
"K07679",1.54498206182718,4.03999311973882,23.9396477505103,9.94033658151426e-07,2.34181451691625e-05
"K06149",1.42154448672027,0.568859102801736,23.9009416647136,1.01422138588838e-06,2.37973961471149e-05
"K04033",1.91183551177938,1.33536513845581,23.8784580207676,1.02613631603927e-06,2.39802699720181e-05
"K03710",0.195513595128628,8.45364670548375,23.8473542368319,1.0428511537917e-06,2.42734034556557e-05
"K08166",0.716795614359329,3.15348906382638,23.8316371137052,1.05140093684837e-06,2.43749085717955e-05
"K01795",0.954709412907405,3.24869130475994,23.7603815181621,1.09105285743157e-06,2.51937959420409e-05
"K03338",0.257649179013432,7.67391592145466,23.7420960059909,1.10146786869677e-06,2.53337609800257e-05
"K09935",-0.536383070725974,5.80424991368946,23.6885502965989,1.13254331409937e-06,2.58777957383205e-05
"K01407",-1.73185509899458,-1.0156962147647,23.6860497824676,1.13401579537236e-06,2.58777957383205e-05
"K18896",1.87218787167965,1.00246147014726,23.6350383101155,1.16447766340743e-06,2.63738227281107e-05
"K02848",1.09098511104098,2.00019954233435,23.6344769673032,1.16481739837162e-06,2.63738227281107e-05
"K06152",0.613338129061139,4.60460924812744,23.5965238156025,1.18801941243214e-06,2.67949029493901e-05
"K07752",-1.01307964214377,-0.530665294668337,23.587647568994,1.19351229518803e-06,2.68148573193017e-05
"K01198",0.357484474778587,7.36094165737759,23.5479805855618,1.21837231941054e-06,2.72681097178843e-05
"K07667",0.255951554306076,7.66209658376937,23.5040911955082,1.24648426811491e-06,2.775609309492e-05
"K14055",3.29582563824241,-2.04757713558686,23.4991097182335,1.2497158258926e-06,2.775609309492e-05
"K02096",-1.61026674277938,5.8450601619522,23.4382043596449,1.28991208424266e-06,2.85399179399545e-05
"K10560",0.254332139881292,6.32562355982995,23.3616637928304,1.34227118907537e-06,2.95858941258695e-05
"K10253",-0.547079173650337,4.9243418580502,23.3508031045486,1.34987138767496e-06,2.96411381316249e-05
"K08906",-1.55864055147067,3.81435592300616,23.3423922211604,1.3557868808711e-06,2.96591122548457e-05
"K18289",0.923842117107919,2.93552293901127,23.3208438277767,1.37106107632176e-06,2.9880915367477e-05
"K02694",-1.55595459184151,3.42579954771306,23.2496324421231,1.42277636848877e-06,3.08922973441648e-05
